BD,MA1,MA2,MA3,MA4,MA5,MA6,MA7,MA8,MA9,MA10,MA11,MD1,MD2,MD3,MD4,MD5,MD6,MD7,MD8,MD9,MD10,MD11,MD12,MD13,MD14,MD15,MD16,MD17,MD18,MD19,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP,IDMAP_1,IPCA_1,LAMP_1,LMDS_1,MDS_1,PBC_1,TSNE_1,UMAP_1
ellipsoid-100d20c-4,tabular,1151,100,0.19,0.0,0.17463,0.0,0.0,0.20501,0.11512,2.20288,0.41934,0.0269,0.16401,0.18493,2.44644,0.0123,0.07687,0.1708,0.21915,0.20099,0.16334,0.11045,0.03728,0.00811,0.00071,0.64342,0.32375,0.03237,0.00047,4.0,7.0,2.0,6.0,5.0,8.0,1.0,3.0,4.0,7.0,2.0,6.0,5.0,8.0,1.0,3.0
ellipsoid-100d20c-5,tabular,1137,100,0.18,0.0,0.21196,0.0,0.0,0.20189,0.02358,2.21204,0.36439,0.02263,0.15042,0.31785,2.64262,0.01975,0.1219,0.23279,0.23323,0.19486,0.12897,0.05144,0.01492,0.00202,0.00012,0.66133,0.29843,0.03878,0.00146,5.0,6.0,2.0,7.0,4.0,8.0,1.0,3.0,5.0,6.0,2.0,7.0,4.0,8.0,1.0,3.0
ellipsoid-100d20c-6,tabular,1124,100,0.18,0.0,0.21352,0.0,0.0,0.2137,-0.08313,2.41948,0.40684,0.02945,0.1716,0.26556,2.4934,0.01889,0.09362,0.18919,0.21285,0.18715,0.14382,0.10447,0.0391,0.0094,0.00151,0.64962,0.31693,0.03265,0.0008,4.0,8.0,3.0,7.0,5.0,6.0,1.0,2.0,4.0,8.0,3.0,7.0,5.0,6.0,1.0,2.0
ellipsoid-100d20c-7,tabular,1029,100,0.17,0.0,207.0,0.0,0.0,0.20988,0.08453,1.92962,0.40191,0.02465,157.0,0.11744,2.48048,0.01591,0.09039,0.17496,0.22282,0.21857,0.16183,0.08765,0.02418,0.00356,0.00013,0.65176,0.31538,0.03243,0.00043,4.0,8.0,2.0,7.0,5.0,6.0,1.0,3.0,4.0,8.0,2.0,7.0,5.0,6.0,1.0,3.0
ellipsoid-100d20c-8,tabular,1013,100,0.19,0.0,0.21915,0.0,0.0,0.20982,-0.00915,2.48747,0.3512,0.02176,0.14752,0.42301,2.75348,0.02312,0.12737,0.25639,0.25356,0.16508,0.1105,0.05192,0.01029,0.00158,0.00019,0.66579,0.29404,0.03817,0.00201,5.0,8.0,3.5,6.0,3.5,7.0,1.0,2.0,5.0,8.0,3.5,6.0,3.5,7.0,1.0,2.0
ellipsoid-100d20c-9,tabular,1151,100,0.18,0.0,0.19027,0.0,0.0,0.20143,-0.06493,2.32465,0.38489,0.02351,0.15333,0.28298,2.68989,0.01725,0.09477,0.2065,0.23868,0.21172,0.13882,0.06709,0.0211,0.00366,0.00041,0.66734,0.29265,0.03845,0.00156,3.5,7.0,2.0,8.0,5.0,6.0,1.0,3.5,3.5,7.0,2.0,8.0,5.0,6.0,1.0,3.5
ellipsoid-100d40c-1,tabular,2211,100,0.33,0.0,0.1886,0.0,0.0,0.14696,-0.07019,2.40329,0.39209,0.02222,0.14907,0.24246,2.55577,0.00883,0.08962,0.19872,0.24229,0.21464,0.15127,0.07289,0.01899,0.00262,0.00014,0.65797,0.30838,0.03261,0.00103,6.0,8.0,2.0,7.0,4.0,5.0,1.0,3.0,6.0,8.0,2.0,7.0,4.0,5.0,1.0,3.0
ellipsoid-100d40c-10,tabular,1966,100,0.34,0.0,0.18311,0.0,0.0,0.15177,-0.01942,2.91546,0.36626,0.02139,0.14625,0.39174,2.68896,0.0103,0.11659,0.24074,0.24773,0.19266,0.11937,0.05811,0.01233,0.00199,0.00018,0.66145,0.30229,0.0343,0.00197,6.0,8.0,2.5,7.0,4.5,4.5,1.0,2.5,6.0,8.0,2.5,7.0,4.5,4.5,1.0,2.5
ellipsoid-100d40c-2,tabular,1891,100,0.34,0.0,0.16816,0.0,0.0,0.13942,-0.08518,2.43679,0.38309,0.02167,0.14721,0.26451,2.59353,0.00968,0.09585,0.21275,0.2424,0.21579,0.14066,0.06542,0.01505,0.00224,0.00016,0.65732,0.30863,0.03272,0.00133,5.0,8.0,3.0,7.0,4.0,6.0,2.0,1.0,5.0,8.0,3.0,7.0,4.0,6.0,2.0,1.0
ellipsoid-100d40c-3,tabular,1964,100,0.33,0.0,0.17974,0.0,0.0,0.15038,-0.0391,2.63504,0.37114,0.02163,0.14706,0.4148,2.78219,0.00988,0.11023,0.22965,0.25493,0.19858,0.1224,0.05402,0.0174,0.00273,0.00019,0.66557,0.2948,0.03743,0.00219,5.0,8.0,3.0,7.0,4.0,6.0,1.0,2.0,5.0,8.0,3.0,7.0,4.0,6.0,1.0,2.0
ellipsoid-100d40c-4,tabular,2423,100,0.33,0.0,0.14074,0.0,0.0,0.13923,-0.00247,2.91638,0.36721,0.02051,0.14321,0.36065,2.72011,0.01024,0.10908,0.23169,0.26258,0.20092,0.11807,0.05383,0.0119,0.0016,0.00008,0.66478,0.29748,0.03592,0.00182,5.0,8.0,3.0,7.0,4.0,6.0,2.0,1.0,5.0,8.0,3.0,7.0,4.0,6.0,2.0,1.0
ellipsoid-100d40c-5,tabular,2206,100,0.33,0.0,0.18903,0.0,0.0,0.15271,0.1088,2.74607,0.36252,0.02237,0.14958,0.40322,2.62161,0.01153,0.13022,0.24192,0.23929,0.18384,0.11779,0.06079,0.01219,0.00224,0.0002,0.65462,0.31276,0.03066,0.00195,6.0,8.0,3.0,7.0,4.0,5.0,2.0,1.0,6.0,8.0,3.0,7.0,4.0,5.0,2.0,1.0
ellipsoid-100d40c-6,tabular,2285,100,0.34,0.0,0.16193,0.0,0.0,0.13851,-0.10231,2.14289,0.4028,0.02316,0.15217,0.21714,2.57819,0.00841,0.08091,0.18487,0.23718,0.21834,0.16117,0.08089,0.0237,0.00421,0.00032,0.65586,0.31095,0.03211,0.00108,6.0,8.0,3.0,7.0,4.0,5.0,2.0,1.0,6.0,8.0,3.0,7.0,4.0,5.0,2.0,1.0
ellipsoid-100d40c-7,tabular,1829,100,0.34,0.0,0.15309,0.0,0.0,0.14377,-0.14172,2.34248,0.37318,0.01952,0.13973,0.26401,2.7715,0.01105,0.10038,0.20649,0.2714,0.22688,0.1216,0.04963,0.01097,0.00144,0.00014,0.66849,0.29339,0.03622,0.0019,5.0,7.0,3.0,8.0,4.0,6.0,1.0,2.0,5.0,7.0,3.0,8.0,4.0,6.0,1.0,2.0
ellipsoid-100d40c-8,tabular,2100,100,0.34,0.0,0.1419,0.0,0.0,0.14065,-0.04081,2.08955,0.38277,0.01994,0.14121,0.19531,2.58296,0.00809,0.09525,0.19907,0.25418,0.22783,0.14789,0.05449,0.01183,0.00129,0.00008,0.65651,0.31049,0.03182,0.00117,5.0,7.0,3.0,8.0,4.0,6.0,2.0,1.0,5.0,7.0,3.0,8.0,4.0,6.0,2.0,1.0
ellipsoid-100d40c-9,tabular,2187,100,0.32,0.0,0.16781,0.0,0.0,0.15715,0.03115,2.53895,0.36824,0.02139,0.14625,0.35837,2.62917,0.01051,114,0.23228,0.25446,0.19236,0.12231,0.05982,0.01258,0.00156,0.00012,0.65813,0.30643,0.03402,0.00142,5.5,8.0,3.0,7.0,4.0,5.5,1.0,2.0,5.5,8.0,3.0,7.0,4.0,5.5,1.0,2.0
ellipsoid-100d4c-1,tabular,1286,100,0.07,0.0,0.25816,0.0,0.0,0.46272,-0.04244,0.0848,0.42761,0.03952,0.19879,0.36104,2.51142,0.03041,0.09554,0.16083,0.19159,0.19102,0.13456,0.07982,66,0.04492,0.0053,0.6569,0.3058,0.03731,0.0,3.0,6.0,1.0,7.0,4.0,8.0,2.0,5.0,3.0,6.0,1.0,7.0,4.0,8.0,2.0,5.0
ellipsoid-100d4c-10,tabular,967,100,0.04,0.0,0.2606,0.0,0.0,0.51316,-0.04339,0.22259,0.4217,0.04436,0.21062,0.3167,2.38306,0.05129,0.10386,0.16395,0.17033,0.17059,0.13409,0.0843,0.06807,0.04702,0.0065,0.65165,0.3171,0.03125,0.0,3.0,6.0,1.0,4.0,6.0,8.0,2.0,6.0,3.0,6.0,1.0,4.0,6.0,8.0,2.0,6.0
ellipsoid-100d4c-2,tabular,1013,100,0.04,0.0,0.24284,0.0,0.0,0.47692,0.05051,0.17094,0.42016,0.03814,0.19531,0.19481,2.32883,0.03738,0.10698,0.1635,0.17143,0.1666,0.1587,0.10583,0.06246,0.02325,0.00388,0.64305,0.33154,0.02541,0.0,2.5,7.0,2.5,6.0,4.0,8.0,1.0,5.0,2.5,7.0,2.5,6.0,4.0,8.0,1.0,5.0
ellipsoid-100d4c-3,tabular,1331,100,0.06,0.0,0.33434,0.0,0.0,0.48022,0.01277,0.37434,0.40535,0.04242,0.20595,0.19365,2.21075,0.06709,0.11336,0.16344,0.17236,0.15141,0.12789,0.11006,0.07089,0.02056,0.00294,0.62908,0.35411,0.01681,0.0,3.0,6.0,1.5,8.0,5.0,7.0,1.5,4.0,3.0,6.0,1.5,8.0,5.0,7.0,1.5,4.0
ellipsoid-100d4c-4,tabular,1506,100,0.04,0.0,0.2822,0.0,0.0,0.46939,-0.00827,0.46099,0.40832,0.04054,0.20134,0.15588,2.17586,0.05146,0.12627,0.16785,0.1539,0.15049,0.14741,0.1248,0.05576,0.01889,0.00316,0.62307,0.35805,0.01888,0.0,3.0,8.0,2.0,6.0,5.0,7.0,1.0,4.0,3.0,8.0,2.0,6.0,5.0,7.0,1.0,4.0
ellipsoid-100d4c-5,tabular,1117,100,0.04,0.0,0.26142,0.0,0.0,0.43615,0.13856,0.45222,0.43713,0.04254,0.20626,0.04434,2.14144,0.04571,0.10982,0.13258,0.14916,0.16606,0.15061,0.13072,0.0836,0.02804,0.00369,0.61981,0.36511,0.01508,0.0,1.0,7.0,3.0,6.0,5.0,8.0,2.0,4.0,1.0,7.0,3.0,6.0,5.0,8.0,2.0,4.0
ellipsoid-100d4c-6,tabular,849,100,0.04,0.0,0.24382,0.0,0.0,0.45092,0.06292,0.3736,0.42717,0.04006,0.20015,0.14915,2.10339,0.0336,0.11289,0.16147,0.16956,0.15288,0.13201,0.13384,0.0805,0.02087,0.00238,0.60935,0.37485,0.0158,0.0,3.0,4.0,1.5,5.5,7.0,8.0,1.5,5.5,3.0,4.0,1.5,5.5,7.0,8.0,1.5,5.5
ellipsoid-100d4c-7,tabular,1311,100,0.04,0.0,0.31045,0.0,0.0,0.44954,0.08134,0.36944,0.42317,0.04011,0.20027,0.06519,2.14615,0.04697,0.10952,0.15177,0.16077,0.15692,0.14854,0.13699,0.0675,0.01842,0.00261,0.61792,0.36523,0.01685,0.0,3.0,6.0,2.0,8.0,4.0,7.0,1.0,5.0,3.0,6.0,2.0,8.0,4.0,7.0,1.0,5.0
ellipsoid-100d4c-8,tabular,1166,100,0.06,0.0,0.31132,0.0,0.0,0.46738,-0.03923,-0.0036,0.43565,0.03916,0.1979,0.1105,2.12592,0.02794,0.10466,0.15766,0.16182,0.15835,0.15159,0.13118,0.08089,0.02387,0.00202,0.61887,0.36225,0.01889,0.0,4.0,7.0,3.0,5.0,2.0,8.0,1.0,6.0,4.0,7.0,3.0,5.0,2.0,8.0,1.0,6.0
ellipsoid-100d4c-9,tabular,629,100,0.04,0.0,0.38156,0.0,0.0,0.41221,0.18776,1.19858,0.39936,0.04334,0.20819,0.09371,2.06033,0.08562,0.12311,0.1436,0.15674,0.14899,0.13785,0.11989,0.06805,0.01489,0.00127,0.60796,0.3801,0.01193,0.0,1.5,8.0,3.0,5.0,7.0,6.0,1.5,4.0,1.5,8.0,3.0,5.0,7.0,6.0,1.5,4.0
ellipsoid-50d10c-1,tabular,2698,50,0.18,0.0,0.28428,0.0,0.0,0.3062,0.39964,1.4064,0.39802,0.02923,0.17096,0.1486,2.37018,0.02741,0.10832,0.18013,0.19749,0.19265,0.15966,0.09608,0.03168,0.00602,0.00058,0.64168,0.33066,0.02728,0.00038,2.0,8.0,3.5,6.0,5.0,7.0,1.0,3.5,2.0,8.0,3.5,6.0,5.0,7.0,1.0,3.5
ellipsoid-50d10c-10,tabular,3293,50,0.2,0.0,0.2229,0.0,0.0,0.26162,-0.00234,1.82561,0.3782,0.02579,0.16059,0.17929,2.46954,0.0266,0.12445,0.19301,0.21173,0.20269,0.14996,0.07054,0.01706,0.00353,0.00044,0.6431,0.32743,0.02826,0.00122,3.0,8.0,2.0,6.5,5.0,6.5,1.0,4.0,3.0,8.0,2.0,6.5,5.0,6.5,1.0,4.0
ellipsoid-50d10c-2,tabular,3219,50,0.18,0.0,0.2594,0.0,0.0,0.29043,0.03166,1.19523,0.39737,0.02754,0.16595,0.18722,2.52227,0.02574,0.09845,0.17765,0.21877,0.20436,0.15071,0.08514,0.03255,0.00632,0.0003,0.65459,0.30902,0.03603,0.00037,3.0,7.0,2.0,8.0,5.0,6.0,1.0,4.0,3.0,7.0,2.0,8.0,5.0,6.0,1.0,4.0
ellipsoid-50d10c-3,tabular,2919,50,0.2,0.0,0.24015,0.0,0.0,0.28546,-0.06607,1.64327,0.38061,0.02731,0.16527,0.31,2.53501,0.02887,0.11211,0.20599,0.22944,0.18204,0.12509,0.08362,0.02826,0.00425,0.00034,0.65207,0.31405,0.03316,0.00072,4.0,8.0,2.0,6.0,5.0,7.0,1.0,3.0,4.0,8.0,2.0,6.0,5.0,7.0,1.0,3.0
ellipsoid-50d10c-4,tabular,2713,50,0.18,0.0,0.26207,0.0,0.0,0.30596,0.11502,1.63645,0.38216,0.02594,0.16105,0.15911,2.45164,0.02626,0.11866,0.18657,0.21827,0.19937,154,0.07399,0.01918,0.0034,0.00029,0.64447,0.32493,0.02979,0.00081,3.0,8.0,2.0,6.0,5.0,7.0,1.0,4.0,3.0,8.0,2.0,6.0,5.0,7.0,1.0,4.0
ellipsoid-50d10c-5,tabular,2462,50,0.18,0.0,0.29041,0.0,0.0,0.3268,-0.00185,1.88439,0.33617,0.02396,0.15479,0.31662,2.68197,0.05243,0.1503,0.23076,0.24187,0.16604,0.10014,0.0469,0.01018,0.00127,0.00011,0.66119,0.30346,34,0.00136,2.0,7.0,3.5,8.0,5.0,6.0,1.0,3.5,2.0,7.0,3.5,8.0,5.0,6.0,1.0,3.5
ellipsoid-50d10c-6,tabular,2950,50,0.18,0.0,0.22,0.0,0.0,0.28145,0.0408,1.56194,0.42937,0.03009,0.17346,0.07789,2.42219,0.02016,0.08103,0.14787,0.19266,0.20935,0.17001,0.11406,0.05299,0.01092,0.00094,0.64828,0.31923,0.03237,0.00012,2.0,8.0,3.0,6.5,5.0,6.5,1.0,4.0,2.0,8.0,3.0,6.5,5.0,6.5,1.0,4.0
ellipsoid-50d10c-7,tabular,2328,50,0.18,0.0,0.25945,0.0,0.0,0.35891,0.02118,1.60174,0.36432,0.02777,0.16665,0.35947,2.59406,0.03571,0.13668,0.21986,0.21654,0.16889,0.12619,0.06809,0.02247,0.00514,0.00042,0.65449,0.3133,0.03087,0.00134,3.5,6.5,2.0,8.0,5.0,6.5,1.0,3.5,3.5,6.5,2.0,8.0,5.0,6.5,1.0,3.5
ellipsoid-50d10c-8,tabular,3140,50,0.2,0.0,0.23185,0.0,0.0,0.31358,0.08038,1.94925,0.36467,0.02589,0.16091,0.36122,2.7622,0.03347,0.12537,0.22057,0.22524,0.18954,0.12264,0.05572,0.02212,0.0047,0.00064,0.66728,0.29379,0.03674,0.00219,4.0,8.0,2.0,7.0,5.0,6.0,1.0,3.0,4.0,8.0,2.0,7.0,5.0,6.0,1.0,3.0
ellipsoid-50d10c-9,tabular,2242,50,0.2,0.0,0.20785,0.0,0.0,0.29297,0.31691,1.67268,0.38039,0.02695,0.16416,0.30188,2.63827,0.02948,0.11289,0.19224,0.23782,0.1977,0.11833,0.07557,0.03117,0.00444,0.00037,0.66282,0.29814,0.03824,0.00081,2.0,6.0,3.0,8.0,5.0,7.0,1.0,4.0,2.0,6.0,3.0,8.0,5.0,7.0,1.0,4.0
ellipsoid-50d20c-1,tabular,1254,50,0.34,0.0,0.16507,0.0,0.0,0.19739,0.18178,2.65719,0.37995,0.02304,0.15177,0.23687,2.6189,0.01646,0.10663,0.20222,0.23959,0.21218,0.13925,0.06366,0.01698,0.0028,0.00023,0.6601,0.30362,0.03492,0.00135,5.0,8.0,2.0,6.0,4.0,7.0,1.0,3.0,5.0,8.0,2.0,6.0,4.0,7.0,1.0,3.0
ellipsoid-50d20c-10,tabular,1142,50,0.34,0.0,0.19352,0.0,0.0,0.20651,-0.18318,2.00479,0.39735,0.02595,0.16109,0.21443,2.5318,0.01523,0.10032,0.18913,0.21289,0.21025,0.15968,0.0777,0.02884,0.00548,0.00047,0.65885,0.30743,0.03286,0.00086,3.0,8.0,3.0,7.0,5.0,6.0,1.0,3.0,3.0,8.0,3.0,7.0,5.0,6.0,1.0,3.0
ellipsoid-50d20c-2,tabular,1153,50,0.36,0.0,0.18127,0.0,0.0,0.19999,-0.09499,2.21328,0.36017,0.02421,0.15559,0.41086,2.6542,0.02094,0.13432,0.23779,0.24177,0.16044,0.12648,0.05824,0.01713,0.00271,0.00019,0.65256,0.31052,0.03538,0.00153,5.0,8.0,3.0,6.0,4.0,7.0,1.0,2.0,5.0,8.0,3.0,6.0,4.0,7.0,1.0,2.0
ellipsoid-50d20c-3,tabular,1308,50,0.32,0.0,0.17737,0.0,0.0,0.20203,0.2279,1.94835,0.39365,0.0268,0.16371,0.16384,2.41451,0.0184,0.11412,0.18447,0.19955,0.21055,0.15803,0.08489,0.02454,0.00511,0.00035,0.64212,0.32703,0.03025,0.00061,4.0,6.0,3.0,8.0,5.0,7.0,2.0,1.0,4.0,6.0,3.0,8.0,5.0,7.0,2.0,1.0
ellipsoid-50d20c-4,tabular,1246,50,0.34,0.0,0.18941,0.0,0.0,0.19864,-0.05271,1.80825,0.3944,0.0257,0.1603,0.15031,2.48795,0.01831,0.10632,0.17792,0.21846,0.20886,0.15991,0.0833,0.02232,0.00407,0.00054,0.64692,0.3217,0.03042,0.00096,5.0,7.0,3.0,8.0,4.0,6.0,1.0,2.0,5.0,7.0,3.0,8.0,4.0,6.0,1.0,2.0
ellipsoid-50d20c-5,tabular,1243,50,0.34,0.0,0.17699,0.0,0.0,0.2012,-0.0542,2.44716,0.37623,0.02503,0.15822,0.33284,2.59008,0.0173,0.12143,0.21487,0.22882,0.18805,0.13743,0.06647,0.02129,0.00391,0.00044,0.64852,0.31615,0.03386,0.00147,5.0,8.0,3.0,7.0,4.0,6.0,2.0,1.0,5.0,8.0,3.0,7.0,4.0,6.0,2.0,1.0
ellipsoid-50d20c-6,tabular,1062,50,0.32,0.0,0.16572,0.0,0.0,0.19927,-0.0958,1.73564,0.41303,0.02563,0.1601,0.10721,2.48263,0.0145,0.08354,0.16396,0.2162,0.21302,0.1747,0.09952,0.02845,0.00552,0.00058,0.64664,0.32098,0.0317,0.00069,4.0,8.0,3.0,6.5,5.0,6.5,1.0,2.0,4.0,8.0,3.0,6.5,5.0,6.5,1.0,2.0
ellipsoid-50d20c-7,tabular,1007,50,0.34,0.0,0.2135,0.0,0.0,0.2062,-0.00607,1.72893,0.41903,0.02547,0.15959,0.10707,2.57796,0.01246,0.07907,0.15497,0.21039,0.22814,0.18192,0.09072,0.03489,0.00676,0.00068,0.6611,0.30359,0.03458,0.00073,4.5,7.0,3.0,6.0,4.5,8.0,1.0,2.0,4.5,7.0,3.0,6.0,4.5,8.0,1.0,2.0
ellipsoid-50d20c-8,tabular,1181,50,0.34,0.0,0.19644,0.0,0.0,0.20074,0.08435,2.13943,0.36717,0.02149,0.1466,0.31004,2.71792,0.01689,0.11342,0.21957,0.25632,0.20209,0.12455,0.05231,0.01261,0.00203,0.00022,0.65805,0.30436,0.0356,0.00199,5.0,8.0,3.0,7.0,4.0,6.0,1.0,2.0,5.0,8.0,3.0,7.0,4.0,6.0,1.0,2.0
ellipsoid-50d20c-9,tabular,1115,50,0.34,0.0,0.21345,0.0,0.0,0.20388,0.20605,1.86211,0.36537,0.02106,0.14513,0.34909,2.78469,0.01748,0.10563,0.23536,0.26026,0.1967,0.11568,0.05494,0.01176,0.00195,0.00024,0.6691,0.29047,0.03826,0.00217,5.0,8.0,4.0,7.0,3.0,6.0,1.0,2.0,5.0,8.0,4.0,7.0,3.0,6.0,1.0,2.0
ellipsoid-50d40c-1,tabular,2334,50,0.54,0.0,0.11911,0.0,0.0,0.14341,-0.0423,2.18316,0.3576,0.01819,0.13489,0.27548,2.75148,0.01023,0.11876,0.22754,0.27295,0.21884,0.10854,0.03533,0.00689,0.00086,0.00006,0.66261,0.30135,0.03379,0.00226,6.0,7.0,3.0,8.0,4.0,5.0,2.0,1.0,6.0,7.0,3.0,8.0,4.0,5.0,2.0,1.0
ellipsoid-50d40c-10,tabular,2361,50,0.54,0.0,0.14528,0.0,0.0,0.14893,-0.01482,2.34855,0.33348,0.01748,0.13223,0.34331,2.66196,0.01563,0.15105,0.27049,0.25992,0.18298,0.09178,0.02449,0.00336,0.00028,0.00002,0.65569,0.30894,0.03359,0.00179,5.0,7.0,4.0,8.0,3.0,6.0,2.0,1.0,5.0,7.0,4.0,8.0,3.0,6.0,2.0,1.0
ellipsoid-50d40c-2,tabular,1903,50,0.52,0.0,0.14451,0.0,0.0,0.14682,0.04206,2.28092,0.38569,0.02255,0.15016,0.25156,2.61358,0.01044,0.10058,0.20164,0.23608,0.22308,0.13896,0.06802,0.01808,0.00296,0.00016,0.65868,0.3076,0.03244,0.00128,5.5,7.0,4.0,8.0,3.0,5.5,2.0,1.0,5.5,7.0,4.0,8.0,3.0,5.5,2.0,1.0
ellipsoid-50d40c-3,tabular,2036,50,0.56,0.0,0.17682,0.0,0.0,0.14991,-0.0272,2.24572,0.35524,0.02013,0.14189,0.31892,2.59826,0.01254,0.13369,0.23896,0.24991,0.19236,0.12333,0.0402,0.00791,0.00103,0.00008,0.64947,0.3186,0.03017,0.00176,5.0,7.0,3.0,8.0,4.0,6.0,2.0,1.0,5.0,7.0,3.0,8.0,4.0,6.0,2.0,1.0
ellipsoid-50d40c-4,tabular,2031,50,0.54,0.0,0.15953,0.0,0.0,0.15728,0.1517,2.66019,0.35511,0.02151,0.14665,0.46114,2.7739,0.01282,0.13047,0.25734,0.24761,0.17513,0.11247,0.04986,0.01197,0.00217,0.00016,0.66492,0.29769,0.03482,0.00257,5.0,8.0,3.0,7.0,4.0,6.0,1.0,2.0,5.0,8.0,3.0,7.0,4.0,6.0,1.0,2.0
ellipsoid-50d40c-5,tabular,2176,50,0.52,0.0,0.14614,0.0,0.0,0.15726,-0.12182,2.28208,0.36662,0.02158,0.1469,0.36438,2.63898,0.01043,0.12048,0.22872,0.25489,0.18975,0.12362,0.05766,0.01251,0.0018,0.00013,0.65485,0.31021,0.0333,0.00164,7.0,8.0,3.5,5.0,3.5,6.0,1.0,2.0,7.0,8.0,3.5,5.0,3.5,6.0,1.0,2.0
ellipsoid-50d40c-6,tabular,2169,50,0.54,0.0,0.14707,0.0,0.0,0.15107,0.12366,2.88584,0.35761,0.02291,0.15136,0.46007,2.56509,0.01191,0.1393,0.25891,0.23196,0.15791,0.12601,0.05919,0.01266,0.00207,0.00008,0.64725,0.31998,0.03117,0.0016,5.0,8.0,3.0,7.0,4.0,6.0,1.0,2.0,5.0,8.0,3.0,7.0,4.0,6.0,1.0,2.0
ellipsoid-50d40c-7,tabular,2211,50,0.54,0.0,0.15061,0.0,0.0,0.14674,-0.06444,2.20812,0.38853,0.02248,0.14992,0.20209,2.51127,0.00976,0.09888,0.19785,0.23342,0.21713,0.15611,0.06709,0.0172,0.00242,0.00014,0.64774,0.32088,0.03042,0.00096,5.0,8.0,3.0,7.0,4.0,6.0,1.0,2.0,5.0,8.0,3.0,7.0,4.0,6.0,1.0,2.0
ellipsoid-50d40c-8,tabular,1983,50,0.56,0.0,0.15129,0.0,0.0,0.14334,0.02797,2.34533,0.36659,0.01995,0.14126,0.35471,2.75462,0.01107,0.10575,236,0.26179,0.20092,0.12298,0.04877,0.01091,0.00168,0.00012,0.66311,0.29898,0.03567,0.00224,5.0,8.0,4.0,7.0,3.0,6.0,1.0,2.0,5.0,8.0,4.0,7.0,3.0,6.0,1.0,2.0
ellipsoid-50d40c-9,tabular,2393,50,0.52,0.0,0.14877,0.0,0.0,0.1445,0.06599,2.42846,0.38379,0.02182,0.14771,0.22917,2.50976,0.00976,0.09801,0.21201,0.23475,0.21401,0.15097,0.06377,0.01457,0.00205,0.00009,0.64946,0.3193,0.03016,0.00108,6.5,6.5,3.5,8.0,3.5,5.0,1.0,2.0,6.5,6.5,3.5,8.0,3.5,5.0,1.0,2.0
ellipsoid-50d4c-1,tabular,1064,50,0.1,0.0,0.35714,0.0,0.0,0.45772,-0.04973,0.81869,0.41492,0.04721,0.21728,0.17439,2.10859,0.07651,0.10748,0.15323,0.16423,0.15083,0.11365,0.10557,0.09261,0.03381,0.00208,0.61957,0.36871,0.01172,0.0,2.0,6.0,3.0,7.5,5.0,7.5,1.0,4.0,2.0,6.0,3.0,7.5,5.0,7.5,1.0,4.0
ellipsoid-50d4c-10,tabular,1469,50,0.08,0.0,0.2437,0.0,0.0,0.44598,0.0717,1.05559,0.3685,0.03109,0.17632,0.26866,2.47219,0.05074,0.14864,0.18019,0.19526,0.18472,0.13198,0.07625,0.02406,0.00692,0.00124,0.63912,0.33617,0.02337,0.00134,2.0,8.0,3.0,6.0,5.0,7.0,1.0,4.0,2.0,8.0,3.0,6.0,5.0,7.0,1.0,4.0
ellipsoid-50d4c-2,tabular,984,50,0.1,0.0,0.28455,0.0,0.0,0.49141,-0.07902,0.33583,0.40829,0.0424,0.2059,0.18064,2.11623,0.05991,0.12354,0.1588,0.17122,0.14224,0.12346,0.12926,0.07151,0.01661,0.00344,0.61118,0.37428,0.01454,0.0,4.0,8.0,2.0,6.0,3.0,7.0,1.0,5.0,4.0,8.0,2.0,6.0,3.0,7.0,1.0,5.0
ellipsoid-50d4c-3,tabular,1371,50,0.16,0.0,0.18745,0.0,0.0,0.48505,-0.17312,0.14152,0.40549,0.03963,0.19907,0.22275,2.48046,0.07255,0.08101,0.15624,0.20337,0.18915,0.11535,0.08942,0.06469,0.02571,0.00252,0.66203,0.31146,0.02651,0.0,2.0,5.0,3.0,6.0,7.0,8.0,1.0,4.0,2.0,5.0,3.0,6.0,7.0,8.0,1.0,4.0
ellipsoid-50d4c-4,tabular,1098,50,0.08,0.0,0.31967,0.0,0.0,0.46102,-0.23598,-0.0423,0.46815,0.04387,0.20946,-0.02821,2.12748,0.03197,0.08953,0.12186,0.15055,0.14771,0.1544,0.15372,0.09723,0.04644,0.00661,0.6298,0.35395,0.01625,0.0,4.0,6.0,2.0,7.0,3.0,8.0,1.0,5.0,4.0,6.0,2.0,7.0,3.0,8.0,1.0,5.0
ellipsoid-50d4c-5,tabular,351,50,0.08,0.0,0.23647,0.0,0.0,0.48053,0.03514,0.21503,0.39807,0.03801,0.19495,0.42153,2.58828,0.04513,0.11466,0.17924,0.20259,0.18649,0.10548,0.07642,0.05687,0.03093,0.0022,0.66255,0.29591,0.04148,0.00007,2.0,6.0,3.0,8.0,5.0,7.0,1.0,4.0,2.0,6.0,3.0,8.0,5.0,7.0,1.0,4.0
ellipsoid-50d4c-6,tabular,1331,50,0.1,0.0,0.29527,0.0,0.0,0.39756,-0.00364,1.01666,0.41283,0.03738,0.19333,0.13153,2.44384,0.05302,0.10247,0.14772,0.17336,0.17729,0.1716,0.10983,0.03606,0.02492,0.00375,0.65186,0.31728,0.03085,0.00001,2.0,6.0,2.0,5.0,8.0,7.0,2.0,4.0,2.0,6.0,2.0,5.0,8.0,7.0,2.0,4.0
